zip,lat,lng,city,state_id,population
75067,33.01416,-97.00268,Lewisville,TX,68451
33015,25.94116,-80.31761,Hialeah,FL,68430
29072,33.9985,-81.27098,Lexington,SC,68389
77373,30.06143,-95.38423,Spring,TX,68273
94513,37.92541,-121.68452,Brentwood,CA,68160
94587,37.59142,-122.06993,Union City,CA,68141
19120,40.03417,-75.11986,Philadelphia,PA,68078
95624,38.43203,-121.30506,Elk Grove,CA,68036
75056,33.07541,-96.90978,The Colony,TX,67978
27519,35.80815,-78.88711,Cary,NC,67976
95020,37.01461,-121.55718,Gilroy,CA,67945
90037,34.00271,-118.28747,Los Angeles,CA,67895
30004,34.14352,-84.29926,Alpharetta,GA,67850
94541,37.67376,-122.08707,Hayward,CA,67785
94538,37.50653,-121.96361,Fremont,CA,67704
29681,34.76988,-82.22218,Simpsonville,SC,67657
32822,28.49001,-81.29056,Orlando,FL,67636
11434,40.67683,-73.77623,Jamaica,NY,67611
33186,25.65565,-80.41062,Miami,FL,67597
78253,29.46899,-98.78885,San Antonio,TX,67578
75098,33.01432,-96.53531,Wylie,TX,67513
66061,38.89633,-94.88029,Olathe,KS,67510
95206,37.8961,-121.41051,Stockton,CA,67501
10023,40.77464,-73.97836,New York,NY,67468
60641,41.94667,-87.74693,Chicago,IL,67400
98682,45.67296,-122.48327,Vancouver,WA,67297
89110,36.17367,-115.05549,Las Vegas,NV,67259
78045,27.83197,-99.65963,Laredo,TX,67185
89121,36.12141,-115.09135,Las Vegas,NV,67090
23462,36.8366,-76.15105,Virginia Beach,VA,67066
20147,39.04151,-77.47958,Ashburn,VA,67007
11372,40.75172,-73.88367,Jackson Heights,NY,66995
85301,33.53219,-112.17817,Glendale,AZ,66970
20011,38.95295,-77.02323,Washington,DC,66951
60640,41.97253,-87.66372,Chicago,IL,66884
11746,40.81421,-73.3608,Huntington Station,NY,66883
17603,40.0127,-76.35287,Lancaster,PA,66788
89115,36.25374,-115.04285,Las Vegas,NV,66773
91402,34.22413,-118.4448,Panorama City,CA,66710
38401,35.62955,-87.02097,Columbia,TN,66696
30135,33.67285,-84.74523,Douglasville,GA,66689
94110,37.74975,-122.41528,San Francisco,CA,66687
37064,35.88966,-86.96112,Franklin,TN,66641
60620,41.74096,-87.65257,Chicago,IL,66511
14850,42.43249,-76.49891,Ithaca,NY,66495
80016,39.59391,-104.72311,Aurora,CO,66479
92630,33.64709,-117.68428,Lake Forest,CA,66461
07087,40.76723,-74.03243,Union City,NJ,66375
43123,39.86801,-83.12088,Grove City,OH,66366
92201,33.70804,-116.23502,Indio,CA,66364
37122,36.17791,-86.48872,Mount Juliet,TN,66348
23322,36.62703,-76.26929,Chesapeake,VA,66079
95758,38.42932,-121.44603,Elk Grove,CA,65999
30188,34.11873,-84.45526,Woodstock,GA,65980
77521,29.81298,-94.96233,Baytown,TX,65920
48197,42.1973,-83.62903,Ypsilanti,MI,65911
84404,41.27198,-112.11705,Ogden,UT,65875
19111,40.06065,-75.08019,Philadelphia,PA,65821
28215,35.24854,-80.69571,Charlotte,NC,65789
77406,29.64571,-95.79184,Richmond,TX,65716
11211,40.71428,-73.94602,Brooklyn,NY,65691
32210,30.26491,-81.74746,Jacksonville,FL,65626
33178,25.83578,-80.4213,Miami,FL,65515
02148,42.43048,-71.05762,Malden,MA,65509
87120,35.14097,-106.76522,Albuquerque,NM,65477
10950,41.31919,-74.19825,Monroe,NY,65391
20878,39.11376,-77.24781,Gaithersburg,MD,65236
77469,29.49229,-95.70571,Richmond,TX,65159
85308,33.66029,-112.18486,Glendale,AZ,65159
92562,33.53579,-117.35098,Murrieta,CA,65116
10027,40.81187,-73.95459,New York,NY,65068
94080,37.65541,-122.42083,South San Francisco,CA,65036
40475,37.7635,-84.30828,Richmond,KY,65030
85204,33.39666,-111.78786,Mesa,AZ,65018
21234,39.395,-76.53252,Parkville,MD,65010
30022,34.02745,-84.24643,Alpharetta,GA,64919
90262,33.92384,-118.20133,Lynwood,CA,64918
33463,26.59508,-80.12968,Lake Worth,FL,64916
92114,32.70778,-117.05529,San Diego,CA,64820
08753,39.98091,-74.15055,Toms River,NJ,64788
43026,40.02197,-83.18472,Hilliard,OH,64644
44256,41.14092,-81.85954,Medina,OH,64606
22554,38.42285,-77.3835,Stafford,VA,64605
93905,36.6849,-121.60562,Salinas,CA,64596
93906,36.72258,-121.63218,Salinas,CA,64592
94558,38.50846,-122.26497,Napa,CA,64552
85338,33.37252,-112.40826,Goodyear,AZ,64448
20019,38.89214,-76.94195,Washington,DC,64365
92392,34.479,-117.40884,Victorville,CA,64352
43081,40.11064,-82.89083,Westerville,OH,64314
22407,38.28581,-77.58055,Fredericksburg,VA,64273
60609,41.81263,-87.65559,Chicago,IL,64268
33313,26.15069,-80.22634,Fort Lauderdale,FL,64228
75040,32.92797,-96.62006,Garland,TX,64205
94015,37.68121,-122.48074,Daly City,CA,64121
30253,33.45028,-84.18579,Mcdonough,GA,64108
78665,30.55038,-97.63681,Round Rock,TX,64087
92677,33.52777,-117.70523,Laguna Niguel,CA,64023
89148,36.06337,-115.29676,Las Vegas,NV,64013
92115,32.76154,-117.07187,San Diego,CA,64011
93309,35.34266,-119.06461,Bakersfield,CA,63989
75243,32.91232,-96.73633,Dallas,TX,63907
74012,36.05381,-95.80509,Broken Arrow,OK,63899
60651,41.90202,-87.74104,Chicago,IL,63892
85041,33.38643,-112.10928,Phoenix,AZ,63881
60402,41.83237,-87.78983,Berwyn,IL,63867
10472,40.82968,-73.86942,Bronx,NY,63820
75043,32.8571,-96.57986,Garland,TX,63733
11432,40.71491,-73.79295,Jamaica,NY,63730
27406,35.9982,-79.76686,Greensboro,NC,63661
37167,35.96325,-86.52922,Smyrna,TN,63660
91762,34.02764,-117.64308,Ontario,CA,63656
32765,28.66732,-81.20033,Oviedo,FL,63646
20148,38.99062,-77.53284,Ashburn,VA,63615
80634,40.40075,-104.79222,Greeley,CO,63553
94501,37.77525,-122.27493,Alameda,CA,63517
28173,34.91532,-80.73021,Waxhaw,NC,63503
33027,25.98245,-80.34359,Hollywood,FL,63486
30058,33.7377,-84.10779,Lithonia,GA,63421
77077,29.75375,-95.64189,Houston,TX,63421
