city,state_id,lat,lng,population,zips
Laurel,MD,39.0949,-76.8622,29594,20707 20725 20797
Raytown,MO,38.9944,-94.4641,29593,64138 64133
Anderson,SC,34.5211,-82.6478,29563,29625 29621 29624 29622
Southgate,MI,42.2047,-83.2057,29551,48195
Burton,MI,42.9974,-83.6175,29529,48509 48529 48519
Melrose,MA,42.4556,-71.059,29488,02176
Magna,UT,40.7634,-112.1599,29488,84044
Casselberry,FL,28.6624,-81.3217,29473,32707 32718
San Lorenzo,CA,37.6733,-122.1332,29453,94541 94580
Eastern Goleta Valley,CA,34.4448,-119.7879,29411,93111 93110 93160
Bixby,OK,35.9454,-95.8776,29402,74008
Oak Park,MI,42.4649,-83.1824,29370,48237
Garfield Heights,OH,41.4199,-81.6038,29369,44125 44105
Vero Beach South,FL,27.6132,-80.4163,29365,32962 32966 32960 32968
Fleming Island,FL,30.0988,-81.7124,29351,32003 32006
Texarkana,AR,33.436,-93.9959,29343,71854
Englewood,NJ,40.8917,-73.9736,29342,07631
Fountain,CO,38.6886,-104.6829,29327,80817
Kirkwood,MO,38.5788,-90.4203,29302,63122
Jacksonville,AR,34.8807,-92.1304,29285,72099 72076 72078
Harrison,NY,41.0236,-73.7193,29279,10580 10577 10604 10528
Clarksburg,MD,39.2246,-77.2659,29246,20841 20876 20871
Suisun City,CA,38.2473,-122.0091,29205,94585
Statesville,NC,35.7842,-80.8713,29161,28625 28677 28687
East Palo Alto,CA,37.4671,-122.1352,29143,94303
Mehlville,MO,38.5018,-90.3149,29089,63129 63125
Easton,PA,40.6858,-75.2209,29079,18042 18045 18043 18044
Sachse,TX,32.9726,-96.5793,29075,75048
East Lake-Orient Park,FL,27.997,-82.3653,29064,33619 33617 33610 33637 33601 33680
Russellville,AR,35.2762,-93.1383,29057,72802 72801 72811
Independence,KY,38.951,-84.5492,29024,41051
Shaker Heights,OH,41.4744,-81.5496,29004,44122 44120
Enterprise,AL,31.3275,-85.8463,28990,36330 36331
Jeffersontown,KY,38.2049,-85.5701,28988,40299 40220 40223 40224
Perry Hall,MD,39.4068,-76.478,28908,21236 21128 21234
Lake in the Hills,IL,42.1913,-88.3477,28853,60156
Greenville,MS,33.385,-91.0514,28833,38701 38703 38702 38704
Burbank,IL,41.7444,-87.7686,28822,60459
Golden Gate,FL,26.1844,-81.7031,28767,34116
Converse,TX,29.5091,-98.3084,28764,78109
Twentynine Palms,CA,34.1478,-116.0659,28738,92277 92278
Daphne,AL,30.6263,-87.8816,28673,36527 36526
Danville,IL,40.1426,-87.6111,28663,61834 61832
Northampton,MA,42.3266,-72.6745,28640,01060 01062 01063 01053 01061
Carney,MD,39.405,-76.5235,28624,21234
East Niles,CA,35.3683,-118.9225,28586,93306 93307
Temescal Valley,CA,33.7581,-117.4677,28560,92883
Forest Hills,MI,42.9577,-85.4895,28494,49301 49546 49355 49356 49357 49516
Laplace,LA,30.0731,-90.4758,28480,70068 70069
Frankfort,KY,38.1924,-84.8643,28452,40601 40603 40618 40619 40620 40621 40622
Lansing,IL,41.5648,-87.5462,28415,60438
Madison Heights,MI,42.5073,-83.1034,28411,48071
Jamestown,NY,42.0976,-79.2367,28401,14701 14702
Monroeville,PA,40.4262,-79.7605,28383,15140 15146
Apollo Beach,FL,27.7618,-82.4003,28347,33570 33573 33572
Aberdeen,SD,45.4649,-98.4686,28297,57401
Fort Mill,SC,35.0061,-80.9389,28281,29715 29716
Rockledge,FL,28.3203,-80.736,28279,32955 32926 32956
Glen Ellyn,IL,41.8666,-88.0629,28270,60137 60138
Bergenfield,NJ,40.9236,-73.9982,28269,07621
Fortuna Foothills,AZ,32.6616,-114.3974,28227,85367
Forney,TX,32.744,-96.4529,28222,75126
Eagle Pass,TX,28.7125,-100.484,28186,78852
